Company,Employment Duration,English Level,Estimated Date To Fill Position,Ext Countries Accepted,job Onsite / Remote,Location,Public,Role Specialization,Salary Max,Salary Min,Seniority,Skills Required,Source Candidate Countries,Status,Title,Vacancies Completed,Vacancies Remaining,Vacancies Total,Creation Date,unique id
Swift,"Full Time, Employee",Elementary,"Jun 15, 2023 12:00 am",ARGENTINA,"Hybrid (Remote and On-site), On-site","Villa Gobernador Gálvez, Santa Fe Province, Argentina",yes,,0,0,Semi Senior,"Oracle, sap, implementaciones, migracion, induccion",ARGENTINA,ACTIVE,Analista Funcional Sistemas - Gestión de RRHH,1,1,2,"Jan 28, 2023 12:41 am",1674877271585x178094788645224450
ERCO SRL,Full Time,Not Necessary,"Feb 4, 2024 12:00 am",ARGENTINA,Hybrid (Remote and On-site),"Luján, Buenos Aires Province, Argentina",yes,,140000,139000,Junior,ventas,ARGENTINA,ACTIVE,VENDEDORES PREVENTISTAS,0,1,1,"Feb 21, 2023 12:23 pm",1676992999236x602380525850329100
Lemondata,Full Time,Not Necessary,"Feb 3, 4444 12:00 am",ARGENTINA,Hybrid (Remote and On-site),,yes,Back-End Software Engineer,300000,250000,Semi Senior Advance,"Angular, JavaScript, Spring, SQL Server, java, maven, hibernate, css",ARGENTINA,ACTIVE,Desarrollador JAVA SSR,0,1,1,"Feb 27, 2023 6:55 pm",1677534932210x899209339846787100
Timac Agro,Full Time,Not Necessary,"Sep 4, 2023 12:00 am",ARGENTINA,On-site,,yes,,0,0,Semi Senior Advance,Ventas,,ACTIVE,"Asesor Técnico Comercial (Monte Buey,  corredor ruta 6, Bell Bill)",0,1,1,"Mar 8, 2023 2:55 pm",1678296562467x716722192916152300
Timac Agro,Full Time,Not Necessary,"Aug 4, 2023 12:00 am","ARGENTINA,PARAGUAY,PERU,SURINAME,URUGUAY,VENEZUELA",On-site,,yes,,0,0,Semi Senior Advance,ventas,,ACTIVE,"Asesor Técnico Comercial ( doblas, riglos, macachin, rivera, maza)",0,1,1,"Mar 8, 2023 2:58 pm",1678296758076x858514672621977600
Timac Agro,Full Time,Not Necessary,"Aug 4, 2023 12:00 am","ARGENTINA,PARAGUAY,PERU,SURINAME,URUGUAY,VENEZUELA",On-site,,yes,,0,0,Semi Senior Advance,ventas,,ACTIVE,"Especilista en Nutrición Animal (Reconquista, Avellaneda)",0,1,1,"Mar 8, 2023 3:03 pm",1678297030601x465937433110773760
Timac Agro,Full Time,Not Necessary,"Oct 4, 2023 12:00 am",ARGENTINA,On-site,,yes,,0,0,Semi Senior Advance,Ventas,,ACTIVE,"Asesor Técnico Comercial  ( Suardi, San Guillermo, Bandera, Tostado)",0,1,1,"Mar 8, 2023 3:04 pm",1678297105585x173798157986562050
Timac Agro,Full Time,Not Necessary,"Oct 4, 2033 12:00 am",ARGENTINA,On-site,,yes,,0,0,Semi Senior Advance,Ventas,,ACTIVE,"Asesor Técnico Comercial (Victoria, Villaguay )",0,1,1,"Mar 8, 2023 3:08 pm",1678297338442x525538042251575300
Timac Agro,Full Time,Not Necessary,"Oct 4, 2023 12:00 am","ARGENTINA,PARAGUAY,PERU,SURINAME,URUGUAY,VENEZUELA",On-site,,yes,,0,0,Semi Senior Advance,ventas,,ACTIVE,"Especilista en Nutrición Animal (Chaves, Guamini, Bahia Blanca, Saavedra, San cayetano, Viedma/Carmen de Patagones, Villarino)",0,1,1,"Mar 8, 2023 3:20 pm",1678298028482x777582841929662500
Timac Agro,Full Time,Not Necessary,"Oct 4, 2033 12:00 am",ARGENTINA,On-site,,yes,,0,0,Semi Senior Advance,ventas,,ACTIVE,"Asesor Técnico Comercial ( Los Toldos, General Pinto, Lincoln)",0,1,1,"Mar 8, 2023 3:22 pm",1678298146284x537558096436789250
Empire Headhunters,"Full Time, Contractor, Employee",Proficient,"Apr 1, 2023 12:00 am",UNITED_STATES,100% Remote,,yes,Back-End Software Engineer,14166,9166,Senior,"API Rest, AWS, NodeJS, TypeScript, Postgres, Web3",UNITED_STATES,ACTIVE,Lead backend engineer (remote USA),0,1,1,"Mar 9, 2023 5:06 pm",1678392363855x715576030365220900
Empire Headhunters,"Full Time, Contractor, Employee",Proficient,"Apr 1, 2023 12:00 am",UNITED_STATES,Hybrid (Remote and On-site),,yes,Machine Learning Engineer,20833,12500,Senior,"AWS, GIT, Github, Linux, Python, SQL, TensorFlow, NoSQL, GCP",UNITED_STATES,ACTIVE,Machine Learning Engineer,0,1,1,"Mar 9, 2023 5:14 pm",1678392873949x120998645715173380
Timac Agro,Full Time,Not Necessary,"May 24, 2023 12:00 am","ARGENTINA,COLOMBIA,ECUADOR,GUYANA,PARAGUAY,PERU,SURINAME,URUGUAY,VENEZUELA",On-site,,yes,,0,0,Semi Senior Advance,ventas,,ACTIVE,Ingeniero/a agronomo/a Comercial Junin Buenos Aires ,0,1,1,"Mar 16, 2023 12:27 pm",1678980446415x733473782878961700
Timac Agro,Full Time,Not Necessary,"May 17, 2023 12:00 am","ARGENTINA,COLOMBIA,ECUADOR,GUYANA,PARAGUAY,PERU,SURINAME,URUGUAY,VENEZUELA",100% Remote,,yes,,0,0,Senior,.,,ACTIVE,"Ingeniero Agrónomo para Gerente regional en Centro Norte deBs.As.  Buenos Aires Interior, Los Toldos, General Pinto, Lincoln, Junín.  ",0,1,1,"Mar 17, 2023 9:37 am",1679056626153x941864748073091100
Timac Agro,Full Time,Not Necessary,"May 17, 2023 12:00 am","ARGENTINA,CHILE,COLOMBIA,ECUADOR,GUYANA,PARAGUAY,PERU,SURINAME,URUGUAY,VENEZUELA",On-site,,yes,,0,0,Senior,.,,ACTIVE,Ingeniero/a agrónomo/a Comercial Pihue y Puan Buenos Aires ,0,1,1,"Mar 17, 2023 11:29 am",1679063375564x870052836796268500
Close Up,Full Time,Not Necessary,"Apr 17, 2023 12:00 am",ARGENTINA,Hybrid (Remote and On-site),,yes,,550000,550000,Senior,QlikSense,ARGENTINA,ACTIVE,Desarrollador Qlik-sense,0,1,1,"Mar 17, 2023 3:56 pm",1679079411094x649785881243156500
